Interval,Duration
進系統 to 出系統,2225.269125
進系統 to 出系統,2251.084265
進系統 to 出系統,2226.557890
進系統 to 出系統,2310.514065
進系統 to 出系統,2275.469046
進系統 to 出系統,1905.070005
進系統 to 出系統,2170.910065
進系統 to 出系統,2349.608110
進系統 to 出系統,2377.930719
進系統 to 出系統,2135.390547
進系統 to 出系統,2495.447565
進系統 to 出系統,2255.277870
進系統 to 出系統,2576.355614
進系統 to 出系統,2274.920475
進系統 to 出系統,2568.467920
進系統 to 出系統,2550.772409
進系統 to 出系統,2108.700636
進系統 to 出系統,2557.891989
進系統 to 出系統,2513.486525
進系統 to 出系統,2620.831879
進系統 to 出系統,2697.743635
進系統 to 出系統,2735.426729
進系統 to 出系統,2388.790794
進系統 to 出系統,2518.458998
進系統 to 出系統,2693.434116
進系統 to 出系統,2823.738056
進系統 to 出系統,2742.272583
進系統 to 出系統,3041.562946
進系統 to 出系統,2992.053123
進系統 to 出系統,2670.074484
進系統 to 出系統,3099.692503
進系統 to 出系統,2947.482330
進系統 to 出系統,3019.157642
進系統 to 出系統,3054.440819
進系統 to 出系統,3159.774197
進系統 to 出系統,3219.242605
進系統 to 出系統,3126.550724
進系統 to 出系統,3163.933853
進系統 to 出系統,3100.896143
進系統 to 出系統,3323.703432
進系統 to 出系統,3339.492670
進系統 to 出系統,3603.611605
進系統 to 出系統,3606.216753
進系統 to 出系統,3428.777176
進系統 to 出系統,3014.213120
進系統 to 出系統,3140.000950
進系統 to 出系統,3486.966652
進系統 to 出系統,3141.864601
進系統 to 出系統,3504.140089
進系統 to 出系統,3516.138046
進系統 to 出系統,3232.624922
進系統 to 出系統,3014.356876
進系統 to 出系統,3205.721895
進系統 to 出系統,3290.700560
進系統 to 出系統,3454.129339
進系統 to 出系統,3344.825104
進系統 to 出系統,3543.323801
進系統 to 出系統,3503.106497
進系統 to 出系統,3561.814379
進系統 to 出系統,3586.449148
進系統 to 出系統,4413.458506
進系統 to 出系統,4415.895245
進系統 to 出系統,3732.386827
進系統 to 出系統,3682.516182
進系統 to 出系統,3200.872864
進系統 to 出系統,4588.623121
進系統 to 出系統,3974.126852
進系統 to 出系統,4124.107830
進系統 to 出系統,3190.699091
進系統 to 出系統,3372.220074
進系統 to 出系統,3345.071783
進系統 to 出系統,4136.099682
進系統 to 出系統,4164.707127
進系統 to 出系統,4111.570860
進系統 to 出系統,4218.050743
進系統 to 出系統,4123.405512
進系統 to 出系統,3433.620943
進系統 to 出系統,3491.414042
進系統 to 出系統,3641.031961
進系統 to 出系統,4453.778366
進系統 to 出系統,4372.447968
進系統 to 出系統,3726.215364
進系統 to 出系統,3627.839993
進系統 to 出系統,3679.864408
進系統 to 出系統,3417.768055
進系統 to 出系統,3459.359766
進系統 to 出系統,3623.671192
進系統 to 出系統,3580.153688
進系統 to 出系統,3552.249062
進系統 to 出系統,3435.260185
進系統 to 出系統,3543.401556
進系統 to 出系統,3329.195963
進系統 to 出系統,3466.699198
進系統 to 出系統,3637.521355
進系統 to 出系統,3483.847727
進系統 to 出系統,3813.147041
進系統 to 出系統,4411.253986
進系統 to 出系統,3351.636642
進系統 to 出系統,3732.381046
進系統 to 出系統,4370.394100
進系統 to 出系統,4857.501049
進系統 to 出系統,4391.227673
進系統 to 出系統,4345.576214
進系統 to 出系統,4496.005478
進系統 to 出系統,4518.451590
進系統 to 出系統,4576.854395
進系統 to 出系統,4429.293179
進系統 to 出系統,3652.476391
進系統 to 出系統,3736.151011
進系統 to 出系統,3716.231998
進系統 to 出系統,4905.113148
進系統 to 出系統,4711.872322
進系統 to 出系統,3809.012302
進系統 to 出系統,4993.803925
進系統 to 出系統,4983.317371
進系統 to 出系統,4978.137159
進系統 to 出系統,4909.162043
進系統 to 出系統,4022.159477
進系統 to 出系統,3991.293640
進系統 to 出系統,4029.546259
進系統 to 出系統,5037.944000
進系統 to 出系統,3869.052505
進系統 to 出系統,3910.603647
進系統 to 出系統,3935.272312
進系統 to 出系統,4127.255787
進系統 to 出系統,4639.073389
進系統 to 出系統,4683.730148
進系統 to 出系統,4366.708941
進系統 to 出系統,4060.686644
進系統 to 出系統,3830.776386
進系統 to 出系統,4036.918194
