Interval,Duration
進系統 to 全完了,1891.907030
進系統 to 全完了,2178.608824
進系統 to 全完了,2087.324074
進系統 to 全完了,2604.414124
進系統 to 全完了,2169.093248
進系統 to 全完了,2121.375557
進系統 to 全完了,2221.538679
進系統 to 全完了,2405.415541
進系統 to 全完了,2651.652979
進系統 to 全完了,2823.623714
進系統 to 全完了,2269.496681
進系統 to 全完了,2303.930630
進系統 to 全完了,2284.808243
進系統 to 全完了,1813.842196
進系統 to 全完了,2393.160294
進系統 to 全完了,2472.135664
進系統 to 全完了,2120.963898
進系統 to 全完了,1745.376822
進系統 to 全完了,2242.608887
進系統 to 全完了,2280.767521
進系統 to 全完了,2169.411425
進系統 to 全完了,1950.189962
進系統 to 全完了,2234.626293
進系統 to 全完了,2457.914103
進系統 to 全完了,2316.331697
進系統 to 全完了,2404.832500
進系統 to 全完了,2255.928356
進系統 to 全完了,2290.287867
進系統 to 全完了,2679.416807
進系統 to 全完了,1952.875042
進系統 to 全完了,2588.285069
進系統 to 全完了,2180.163475
進系統 to 全完了,2275.755779
進系統 to 全完了,2329.762396
進系統 to 全完了,2088.881746
進系統 to 全完了,2189.112619
進系統 to 全完了,1711.630396
進系統 to 全完了,2062.045393
進系統 to 全完了,2354.134550
進系統 to 全完了,1930.591755
進系統 to 全完了,2288.601412
進系統 to 全完了,2226.190718
進系統 to 全完了,2125.430857
進系統 to 全完了,2216.676291
進系統 to 全完了,1997.469831
進系統 to 全完了,2263.008722
進系統 to 全完了,2785.488420
進系統 to 全完了,1986.007376
進系統 to 全完了,1755.566587
進系統 to 全完了,2030.586351
進系統 to 全完了,2106.227791
進系統 to 全完了,1795.420893
進系統 to 全完了,2303.906460
進系統 to 全完了,1680.587393
進系統 to 全完了,2043.555561
進系統 to 全完了,2262.666836
進系統 to 全完了,2243.949186
進系統 to 全完了,1929.233828
進系統 to 全完了,2045.084885
進系統 to 全完了,1713.407110
進系統 to 全完了,2375.877867
進系統 to 全完了,2151.460127
進系統 to 全完了,1933.052588
進系統 to 全完了,2235.453701
進系統 to 全完了,1907.133957
進系統 to 全完了,2307.651249
進系統 to 全完了,1889.653168
進系統 to 全完了,4893.576641
進系統 to 全完了,5334.800066
進系統 to 全完了,5439.734747
進系統 to 全完了,1846.945951
進系統 to 全完了,1844.336809
進系統 to 全完了,5248.163307
進系統 to 全完了,2056.115742
進系統 to 全完了,2045.133442
進系統 to 全完了,5562.087362
進系統 to 全完了,5888.200703
進系統 to 全完了,2224.817564
進系統 to 全完了,2047.359272
進系統 to 全完了,5535.183321
進系統 to 全完了,5960.913931
進系統 to 全完了,2059.870104
進系統 to 全完了,2454.237663
進系統 to 全完了,5025.341694
進系統 to 全完了,1771.344688
進系統 to 全完了,5478.062046
進系統 to 全完了,6273.887268
進系統 to 全完了,2243.858364
進系統 to 全完了,1831.144081
進系統 to 全完了,5733.376431
進系統 to 全完了,6214.149759
進系統 to 全完了,2064.102619
進系統 to 全完了,5932.558897
進系統 to 全完了,1903.216633
進系統 to 全完了,2197.944134
進系統 to 全完了,5381.255548
進系統 to 全完了,5896.312906
進系統 to 全完了,2293.939562
進系統 to 全完了,2232.406857
進系統 to 全完了,2095.803112
進系統 to 全完了,1874.604757
進系統 to 全完了,2178.454268
進系統 to 全完了,5724.525129
進系統 to 全完了,1906.291965
進系統 to 全完了,1914.446129
進系統 to 全完了,2331.765514
進系統 to 全完了,2141.932196
進系統 to 全完了,2003.627991
進系統 to 全完了,1847.873320
進系統 to 全完了,2247.877607
進系統 to 全完了,1681.169466
進系統 to 全完了,2114.081081
進系統 to 全完了,6520.971090
進系統 to 全完了,1971.707170
進系統 to 全完了,1727.546612
進系統 to 全完了,2246.730448
進系統 to 全完了,2178.129162
進系統 to 全完了,1925.379478
進系統 to 全完了,6734.866903
進系統 to 全完了,2203.017124
進系統 to 全完了,6136.179546
進系統 to 全完了,6704.199471
進系統 to 全完了,6770.748812
進系統 to 全完了,1809.481934
進系統 to 全完了,6069.126881
進系統 to 全完了,6425.208576
進系統 to 全完了,1728.462273
進系統 to 全完了,2371.506119
進系統 to 全完了,2257.622936
進系統 to 全完了,2270.434343
進系統 to 全完了,2078.189344
進系統 to 全完了,5995.664152
進系統 to 全完了,1934.335192
進系統 to 全完了,1840.470570
進系統 to 全完了,6395.802896
進系統 to 全完了,2097.555025
進系統 to 全完了,2004.912199
進系統 to 全完了,2190.386131
進系統 to 全完了,2006.977863
進系統 to 全完了,2195.524515
進系統 to 全完了,6567.668379
進系統 to 全完了,2362.891233
進系統 to 全完了,6080.644409
進系統 to 全完了,2056.020550
進系統 to 全完了,6050.878132
進系統 to 全完了,6411.742182
進系統 to 全完了,6282.903717
進系統 to 全完了,1829.339182
進系統 to 全完了,1834.435041
進系統 to 全完了,2208.631382
進系統 to 全完了,6135.759460
進系統 to 全完了,7007.381950
進系統 to 全完了,2212.728327
進系統 to 全完了,2156.688292
進系統 to 全完了,1942.170799
進系統 to 全完了,1745.360239
進系統 to 全完了,2397.360720
進系統 to 全完了,6212.132914
進系統 to 全完了,2170.946592
進系統 to 全完了,2354.916981
進系統 to 全完了,1862.236645
進系統 to 全完了,2107.799240
進系統 to 全完了,6473.432035
進系統 to 全完了,1905.927143
進系統 to 全完了,6959.398535
進系統 to 全完了,1989.592167
進系統 to 全完了,9635.854200
進系統 to 全完了,6388.981773
進系統 to 全完了,1950.572081
進系統 to 全完了,2166.617321
進系統 to 全完了,2275.589462
進系統 to 全完了,2010.914032
進系統 to 全完了,6339.599041
進系統 to 全完了,2142.340366
進系統 to 全完了,2202.847994
進系統 to 全完了,2157.950912
進系統 to 全完了,1795.257980
進系統 to 全完了,2261.536514
進系統 to 全完了,2175.024944
進系統 to 全完了,1997.241280
進系統 to 全完了,6701.464903
進系統 to 全完了,2196.417330
進系統 to 全完了,9898.133810
進系統 to 全完了,1882.290277
進系統 to 全完了,1736.666365
進系統 to 全完了,2072.128607
進系統 to 全完了,1787.814819
進系統 to 全完了,6740.357056
進系統 to 全完了,7123.037159
進系統 to 全完了,1993.611378
進系統 to 全完了,2320.576260
進系統 to 全完了,2280.481119
進系統 to 全完了,7403.950186
進系統 to 全完了,10579.114851
進系統 to 全完了,1804.004974
進系統 to 全完了,2270.700653
進系統 to 全完了,7499.415098
進系統 to 全完了,6977.888159
進系統 to 全完了,10131.226068
進系統 to 全完了,2003.995054
進系統 to 全完了,7344.942823
進系統 to 全完了,1861.637568
進系統 to 全完了,2115.956455
進系統 to 全完了,1893.847124
進系統 to 全完了,2276.666058
進系統 to 全完了,1824.698294
進系統 to 全完了,2335.631227
進系統 to 全完了,2073.043024
進系統 to 全完了,1965.303028
進系統 to 全完了,11185.816763
進系統 to 全完了,2392.980635
進系統 to 全完了,2326.057781
進系統 to 全完了,7346.496361
進系統 to 全完了,1988.167074
進系統 to 全完了,7849.839722
進系統 to 全完了,2258.499292
進系統 to 全完了,1847.101536
進系統 to 全完了,1837.524954
進系統 to 全完了,2255.719160
進系統 to 全完了,10834.301107
進系統 to 全完了,7678.265581
進系統 to 全完了,7605.513836
進系統 to 全完了,2341.798252
進系統 to 全完了,7963.251366
進系統 to 全完了,2071.914637
進系統 to 全完了,11233.688080
進系統 to 全完了,7235.481535
進系統 to 全完了,7565.751284
進系統 to 全完了,11250.252323
進系統 to 全完了,2253.350544
進系統 to 全完了,2223.369387
進系統 to 全完了,2247.088903
進系統 to 全完了,1931.664940
進系統 to 全完了,2210.129496
進系統 to 全完了,2048.861122
進系統 to 全完了,2472.557053
進系統 to 全完了,1935.288570
進系統 to 全完了,7836.283602
進系統 to 全完了,2348.042253
進系統 to 全完了,1980.801851
進系統 to 全完了,2259.611738
進系統 to 全完了,8466.108341
進系統 to 全完了,2281.408682
進系統 to 全完了,1893.235033
進系統 to 全完了,8168.520273
進系統 to 全完了,2198.046413
進系統 to 全完了,2274.756351
進系統 to 全完了,8005.063463
進系統 to 全完了,1906.100637
進系統 to 全完了,2146.186377
進系統 to 全完了,2062.086100
進系統 to 全完了,11787.482941
進系統 to 全完了,1958.536291
進系統 to 全完了,2020.058659
進系統 to 全完了,12059.488682
進系統 to 全完了,1826.457352
進系統 to 全完了,12191.696838
進系統 to 全完了,8531.656141
進系統 to 全完了,1911.746178
進系統 to 全完了,2347.271200
進系統 to 全完了,8385.968786
進系統 to 全完了,2213.443857
進系統 to 全完了,2234.893427
進系統 to 全完了,2312.131559
進系統 to 全完了,8136.415787
進系統 to 全完了,2247.260471
進系統 to 全完了,2040.747211
進系統 to 全完了,1861.708027
進系統 to 全完了,2219.656221
進系統 to 全完了,12063.669214
進系統 to 全完了,2024.163363
進系統 to 全完了,1815.679781
進系統 to 全完了,1954.102991
進系統 to 全完了,2257.168243
進系統 to 全完了,1782.590630
進系統 to 全完了,2136.092098
進系統 to 全完了,12291.736305
進系統 to 全完了,8633.493406
進系統 to 全完了,2233.429331
進系統 to 全完了,8536.381081
進系統 to 全完了,1902.877604
進系統 to 全完了,1947.757027
進系統 to 全完了,8846.904346
進系統 to 全完了,1990.035990
進系統 to 全完了,1835.909927
進系統 to 全完了,2112.650938
進系統 to 全完了,2205.077045
進系統 to 全完了,2139.065208
進系統 to 全完了,2189.577265
進系統 to 全完了,2053.273682
進系統 to 全完了,1799.650156
進系統 to 全完了,2302.042574
進系統 to 全完了,1937.411346
進系統 to 全完了,1861.700081
進系統 to 全完了,8836.826077
進系統 to 全完了,8838.204702
進系統 to 全完了,8841.772257
進系統 to 全完了,2373.571964
進系統 to 全完了,1756.021473
進系統 to 全完了,2181.082964
進系統 to 全完了,9344.601410
進系統 to 全完了,2007.095758
進系統 to 全完了,9070.138000
進系統 to 全完了,1769.786810
進系統 to 全完了,12796.986292
進系統 to 全完了,9320.684618
進系統 to 全完了,1895.284988
進系統 to 全完了,2190.035866
進系統 to 全完了,2072.803013
進系統 to 全完了,1982.557312
進系統 to 全完了,9015.980064
進系統 to 全完了,1886.548544
進系統 to 全完了,2003.012918
進系統 to 全完了,1792.459518
進系統 to 全完了,2056.154774
進系統 to 全完了,9280.475321
進系統 to 全完了,2124.555407
進系統 to 全完了,1976.563540
進系統 to 全完了,2145.209238
進系統 to 全完了,2290.426958
進系統 to 全完了,1980.970457
進系統 to 全完了,2291.474451
進系統 to 全完了,9575.827726
進系統 to 全完了,9302.758009
進系統 to 全完了,13533.737883
進系統 to 全完了,1926.670731
進系統 to 全完了,2367.825790
進系統 to 全完了,1916.221640
進系統 to 全完了,1953.014624
進系統 to 全完了,1725.963591
進系統 to 全完了,9709.942192
進系統 to 全完了,14047.010153
進系統 to 全完了,1891.836737
進系統 to 全完了,2329.521650
進系統 to 全完了,2309.512732
進系統 to 全完了,9510.695559
進系統 to 全完了,12896.822168
進系統 to 全完了,1857.915283
進系統 to 全完了,2161.429916
進系統 to 全完了,2043.042168
進系統 to 全完了,2068.078554
進系統 to 全完了,10226.095802
進系統 to 全完了,1855.810390
進系統 to 全完了,1914.097963
進系統 to 全完了,1778.962809
進系統 to 全完了,1986.767054
進系統 to 全完了,10011.525248
進系統 to 全完了,2298.875940
進系統 to 全完了,13881.094198
進系統 to 全完了,14384.368881
進系統 to 全完了,10118.817589
進系統 to 全完了,9495.408403
進系統 to 全完了,2294.661503
進系統 to 全完了,2041.801889
進系統 to 全完了,14332.675592
進系統 to 全完了,10294.515684
進系統 to 全完了,1875.392715
進系統 to 全完了,9984.008116
進系統 to 全完了,1716.384747
進系統 to 全完了,16647.243324
進系統 to 全完了,2186.438463
進系統 to 全完了,10034.172634
進系統 to 全完了,2302.738834
進系統 to 全完了,2235.694473
進系統 to 全完了,2154.905407
進系統 to 全完了,1851.161629
進系統 to 全完了,2114.887068
進系統 to 全完了,1736.229311
進系統 to 全完了,1926.587606
進系統 to 全完了,2204.536173
進系統 to 全完了,1805.881454
進系統 to 全完了,10302.881533
進系統 to 全完了,2267.775215
進系統 to 全完了,2175.436293
進系統 to 全完了,1910.008879
進系統 to 全完了,2382.905777
進系統 to 全完了,2117.124296
進系統 to 全完了,15196.018347
進系統 to 全完了,1899.853716
進系統 to 全完了,10629.970165
進系統 to 全完了,10400.793060
進系統 to 全完了,10488.004581
進系統 to 全完了,2339.987144
進系統 to 全完了,10497.520206
進系統 to 全完了,14823.363745
進系統 to 全完了,2024.622896
進系統 to 全完了,14997.831835
進系統 to 全完了,2285.874367
進系統 to 全完了,14826.715303
進系統 to 全完了,10901.787575
進系統 to 全完了,2142.097809
