Interval,Duration
進系統 to 出系統,1856.158705
進系統 to 出系統,1811.642126
進系統 to 出系統,1689.529020
進系統 to 出系統,2003.556913
進系統 to 出系統,1853.101522
進系統 to 出系統,2118.648956
進系統 to 出系統,1795.533482
進系統 to 出系統,1800.240788
進系統 to 出系統,1870.082804
進系統 to 出系統,1951.687365
進系統 to 出系統,2088.552534
進系統 to 出系統,2204.542204
進系統 to 出系統,2211.306492
進系統 to 出系統,2275.305628
進系統 to 出系統,2248.633720
進系統 to 出系統,1888.557861
進系統 to 出系統,2143.710155
進系統 to 出系統,1791.122494
進系統 to 出系統,2362.028545
進系統 to 出系統,2307.419134
進系統 to 出系統,2190.098801
進系統 to 出系統,1885.005014
進系統 to 出系統,2263.504637
進系統 to 出系統,2175.037622
進系統 to 出系統,1950.302393
進系統 to 出系統,2034.626883
進系統 to 出系統,2378.646986
進系統 to 出系統,2025.262814
進系統 to 出系統,2183.367279
進系統 to 出系統,1867.188368
進系統 to 出系統,2169.120995
進系統 to 出系統,2125.456654
進系統 to 出系統,2297.025921
進系統 to 出系統,2066.219498
進系統 to 出系統,2261.709990
進系統 to 出系統,1896.597820
進系統 to 出系統,2079.349945
進系統 to 出系統,2382.993370
進系統 to 出系統,2229.544706
進系統 to 出系統,2443.578587
進系統 to 出系統,2104.511021
進系統 to 出系統,2071.638050
進系統 to 出系統,2197.633055
進系統 to 出系統,1802.665283
進系統 to 出系統,2034.437395
進系統 to 出系統,2313.288568
進系統 to 出系統,2152.751108
進系統 to 出系統,1975.445816
進系統 to 出系統,2286.306570
進系統 to 出系統,2237.507746
進系統 to 出系統,2029.171869
進系統 to 出系統,2098.506054
進系統 to 出系統,2036.940823
進系統 to 出系統,2290.771317
進系統 to 出系統,2077.799761
進系統 to 出系統,2089.137846
進系統 to 出系統,2153.991219
進系統 to 出系統,2100.745649
進系統 to 出系統,1897.978865
進系統 to 出系統,2252.865149
進系統 to 出系統,1883.238253
進系統 to 出系統,2397.658434
進系統 to 出系統,1986.393370
進系統 to 出系統,2336.486357
進系統 to 出系統,1951.054399
進系統 to 出系統,2313.425295
進系統 to 出系統,2128.037441
進系統 to 出系統,2195.403870
進系統 to 出系統,2340.157940
進系統 to 出系統,2174.055735
進系統 to 出系統,2027.246450
進系統 to 出系統,2295.637278
進系統 to 出系統,1875.806240
進系統 to 出系統,2183.722649
進系統 to 出系統,2010.213375
進系統 to 出系統,2296.752455
進系統 to 出系統,2359.401966
進系統 to 出系統,1888.302334
進系統 to 出系統,2220.232216
進系統 to 出系統,2132.733549
進系統 to 出系統,2384.852692
進系統 to 出系統,1995.631231
進系統 to 出系統,2255.929262
進系統 to 出系統,2458.091967
進系統 to 出系統,2116.147911
進系統 to 出系統,2060.063349
進系統 to 出系統,2290.231287
進系統 to 出系統,2238.778563
進系統 to 出系統,2511.654516
進系統 to 出系統,2417.240604
進系統 to 出系統,2187.917467
進系統 to 出系統,1980.906322
進系統 to 出系統,2166.295341
進系統 to 出系統,2117.272764
進系統 to 出系統,2554.205738
進系統 to 出系統,2027.636631
進系統 to 出系統,1961.001297
進系統 to 出系統,2376.550800
進系統 to 出系統,2443.653013
進系統 to 出系統,1902.691458
進系統 to 出系統,2087.446125
進系統 to 出系統,2046.286592
進系統 to 出系統,2508.338631
進系統 to 出系統,2367.855894
進系統 to 出系統,2075.636511
進系統 to 出系統,2304.252787
進系統 to 出系統,2183.341782
進系統 to 出系統,2159.268551
進系統 to 出系統,2288.331419
進系統 to 出系統,2534.855694
進系統 to 出系統,2558.234566
進系統 to 出系統,2102.822973
進系統 to 出系統,2216.170547
進系統 to 出系統,2195.497494
進系統 to 出系統,2566.481544
進系統 to 出系統,2431.481512
進系統 to 出系統,1939.874294
進系統 to 出系統,1981.165592
進系統 to 出系統,2163.221989
進系統 to 出系統,2136.607471
進系統 to 出系統,2440.366341
進系統 to 出系統,2205.257092
進系統 to 出系統,2085.538368
進系統 to 出系統,2243.467697
進系統 to 出系統,2291.639542
進系統 to 出系統,2055.031162
進系統 to 出系統,2221.424307
進系統 to 出系統,2055.628721
進系統 to 出系統,2379.604315
進系統 to 出系統,2266.015158
進系統 to 出系統,2150.264212
進系統 to 出系統,2245.542776
進系統 to 出系統,2131.223301
進系統 to 出系統,2507.213959
進系統 to 出系統,2170.698128
進系統 to 出系統,2333.723629
進系統 to 出系統,2167.551264
進系統 to 出系統,2265.276247
進系統 to 出系統,2405.468630
進系統 to 出系統,2381.159767
進系統 to 出系統,2190.592470
進系統 to 出系統,2421.853071
進系統 to 出系統,2396.167931
進系統 to 出系統,2320.877081
進系統 to 出系統,2194.949015
進系統 to 出系統,2474.904581
進系統 to 出系統,2449.195433
進系統 to 出系統,2792.476437
進系統 to 出系統,2410.673573
進系統 to 出系統,2559.581802
進系統 to 出系統,2586.971422
進系統 to 出系統,2583.211370
進系統 to 出系統,2466.615053
進系統 to 出系統,2411.991985
進系統 to 出系統,2600.877895
進系統 to 出系統,2744.097427
進系統 to 出系統,2593.117838
進系統 to 出系統,2695.887972
進系統 to 出系統,2602.945570
進系統 to 出系統,2661.772690
進系統 to 出系統,2748.544983
進系統 to 出系統,2676.519346
進系統 to 出系統,2800.432877
進系統 to 出系統,2765.353334
進系統 to 出系統,2736.325140
進系統 to 出系統,2885.545588
進系統 to 出系統,2825.151373
進系統 to 出系統,2942.576370
進系統 to 出系統,2979.106716
進系統 to 出系統,2935.877020
進系統 to 出系統,3057.497639
進系統 to 出系統,3953.073906
進系統 to 出系統,3024.179090
進系統 to 出系統,3124.133945
進系統 to 出系統,3429.278214
進系統 to 出系統,3146.515873
進系統 to 出系統,3088.831932
進系統 to 出系統,3090.831741
進系統 to 出系統,3272.365477
進系統 to 出系統,3104.391241
進系統 to 出系統,3210.836500
進系統 to 出系統,2945.226526
進系統 to 出系統,3048.599674
