State,Time,Utilization
Processing,0.000000,0.752196
Busy,0.000000,0.752196
Generating,0.000000,0.752196
Collecting,0.000000,0.752196
Releasing,0.000000,0.752196
Conveying,0.000000,0.752196
Travel empty,1866783.388633,0.752196
Travel loaded,1603455.384559,0.752196
Offset travel empty,0.000000,0.752196
Offset travel loaded,0.000000,0.752196
Loading,539542.257585,0.752196
Unloading,539500.000000,0.752196
Setup,0.000000,0.752196
Utilize,0.000000,0.752196
Full,0.000000,0.752196
Not empty,0.000000,0.752196
Filling,0.000000,0.752196
Mixing,0.000000,0.752196
Flowing,0.000000,0.752196
Allocated idle,0.000000,0.752196
Change over,0.000000,0.752196
Preprocessing,0.000000,0.752196
Postprocessing,0.000000,0.752196
Inspecting,0.000000,0.752196
Operating,0.000000,0.752196
Purging,0.000000,0.752196
Cleaning,0.000000,0.752196
Accelerating,0.000000,0.752196
Maxspeed,0.000000,0.752196
Decelerating,0.000000,0.752196
Accumulating,0.000000,0.752196
Idle,75389.963239,0.752196
Blocked,184727.524418,0.752196
Empty,0.000000,0.752196
Waiting for operator,1238601.481566,0.752196
Waiting for transporter,0.000000,0.752196
Breakdown,0.000000,0.752196
Down,0.000000,0.752196
Starved,0.000000,0.752196
Repair,0.000000,0.752196
Maintenance,0.000000,0.752196
Lunch,0.000000,0.752196
On break,0.000000,0.752196
Suspend,0.000000,0.752196
Available,0.000000,0.752196
Standby,0.000000,0.752196
Stopped,0.000000,0.752196
Waiting,0.000000,0.752196
