State,Time,Utilization
Processing,0.000000,0.956991
Busy,0.000000,0.956991
Generating,0.000000,0.956991
Collecting,0.000000,0.956991
Releasing,0.000000,0.956991
Parking,1238601.481566,0.956991
Conveying,0.000000,0.956991
Travel empty,1866783.388633,0.956991
Travel loaded,1603455.384559,0.956991
Offset travel empty,0.000000,0.956991
Offset travel loaded,0.000000,0.956991
Loading,539542.257585,0.956991
Unloading,539500.000000,0.956991
Setup,0.000000,0.956991
Utilize,0.000000,0.956991
Full,0.000000,0.956991
Not empty,0.000000,0.956991
Filling,0.000000,0.956991
Mixing,0.000000,0.956991
Flowing,0.000000,0.956991
Allocated idle,0.000000,0.956991
Change over,0.000000,0.956991
Preprocessing,0.000000,0.956991
Postprocessing,0.000000,0.956991
Inspecting,0.000000,0.956991
Operating,0.000000,0.956991
Purging,0.000000,0.956991
Cleaning,0.000000,0.956991
Accelerating,0.000000,0.956991
Maxspeed,0.000000,0.956991
Decelerating,0.000000,0.956991
Accumulating,0.000000,0.956991
Idle,75389.963239,0.956991
Blocked,184727.524418,0.956991
Empty,0.000000,0.956991
Waiting for transporter,0.000000,0.956991
Breakdown,0.000000,0.956991
Down,0.000000,0.956991
Starved,0.000000,0.956991
Repair,0.000000,0.956991
Maintenance,0.000000,0.956991
Lunch,0.000000,0.956991
On break,0.000000,0.956991
Suspend,0.000000,0.956991
Available,0.000000,0.956991
Standby,0.000000,0.956991
Stopped,0.000000,0.956991
Waiting,0.000000,0.956991
