Interval,Duration
進系統 to 全完了,2151.360817
進系統 to 全完了,2203.367512
進系統 to 全完了,1936.797451
進系統 to 全完了,2187.564726
進系統 to 全完了,2350.879847
進系統 to 全完了,2386.555151
進系統 to 全完了,2154.708414
進系統 to 全完了,2155.462049
進系統 to 全完了,2376.495657
進系統 to 全完了,2028.724613
進系統 to 全完了,2262.128428
進系統 to 全完了,2535.310015
進系統 to 全完了,2313.587563
進系統 to 全完了,2606.151337
進系統 to 全完了,2611.297592
進系統 to 全完了,2554.524118
進系統 to 全完了,2525.500433
進系統 to 全完了,2231.724531
進系統 to 全完了,2499.460009
進系統 to 全完了,2553.241253
進系統 to 全完了,2696.503750
進系統 to 全完了,2603.912191
進系統 to 全完了,2851.793638
進系統 to 全完了,2964.181648
進系統 to 全完了,2610.693863
進系統 to 全完了,2335.916916
進系統 to 全完了,2727.137125
進系統 to 全完了,2702.257641
進系統 to 全完了,2669.038204
進系統 to 全完了,2685.818830
進系統 to 全完了,2995.093607
進系統 to 全完了,3030.036781
進系統 to 全完了,3049.661795
進系統 to 全完了,3097.638716
進系統 to 全完了,2756.883776
進系統 to 全完了,2805.523703
進系統 to 全完了,2730.733833
進系統 to 全完了,2939.062399
進系統 to 全完了,2868.742586
進系統 to 全完了,2634.176815
進系統 to 全完了,3005.893755
進系統 to 全完了,2999.054810
進系統 to 全完了,3045.813883
進系統 to 全完了,2866.604942
進系統 to 全完了,3158.511209
進系統 to 全完了,2834.367413
進系統 to 全完了,2832.317308
進系統 to 全完了,2912.276184
進系統 to 全完了,2950.846249
進系統 to 全完了,3319.117702
進系統 to 全完了,3433.703819
進系統 to 全完了,2975.709835
進系統 to 全完了,2942.759539
進系統 to 全完了,2981.960001
進系統 to 全完了,3068.807974
進系統 to 全完了,3088.779121
進系統 to 全完了,2633.767202
進系統 to 全完了,3205.782885
進系統 to 全完了,3073.950977
進系統 to 全完了,3142.058037
進系統 to 全完了,3160.425936
進系統 to 全完了,3437.246078
進系統 to 全完了,3391.440742
進系統 to 全完了,3416.419554
