State,Time,Utilization
Processing,0.000000,0.753644
Busy,0.000000,0.753644
Generating,0.000000,0.753644
Collecting,0.000000,0.753644
Releasing,0.000000,0.753644
Parking,10.000000,0.753644
Conveying,0.000000,0.753644
Travel empty,984831.498703,0.753644
Travel loaded,1725218.390047,0.753644
Offset travel empty,0.000000,0.753644
Offset travel loaded,0.000000,0.753644
Loading,924053.769913,0.753644
Unloading,923926.465056,0.753644
Setup,0.000000,0.753644
Utilize,0.000000,0.753644
Full,0.000000,0.753644
Not empty,0.000000,0.753644
Filling,0.000000,0.753644
Mixing,0.000000,0.753644
Flowing,0.000000,0.753644
Allocated idle,0.000000,0.753644
Change over,0.000000,0.753644
Preprocessing,0.000000,0.753644
Postprocessing,0.000000,0.753644
Inspecting,0.000000,0.753644
Operating,0.000000,0.753644
Purging,0.000000,0.753644
Cleaning,0.000000,0.753644
Accelerating,0.000000,0.753644
Maxspeed,0.000000,0.753644
Decelerating,0.000000,0.753644
Accumulating,0.000000,0.753644
Idle,351148.066605,0.753644
Blocked,1138811.809676,0.753644
Empty,0.000000,0.753644
Waiting for transporter,0.000000,0.753644
Breakdown,0.000000,0.753644
Down,0.000000,0.753644
Starved,0.000000,0.753644
Repair,0.000000,0.753644
Maintenance,0.000000,0.753644
Lunch,0.000000,0.753644
On break,0.000000,0.753644
Suspend,0.000000,0.753644
Available,0.000000,0.753644
Standby,0.000000,0.753644
Stopped,0.000000,0.753644
Waiting,0.000000,0.753644
