Interval,Duration
Waiting Time,1716.449148
Waiting Time,1726.449148
Waiting Time,1736.449148
Waiting Time,1818.835815
Waiting Time,1558.165234
Waiting Time,1709.558210
Waiting Time,1867.201672
Waiting Time,1483.705738
Waiting Time,1873.461323
Waiting Time,1631.089504
Waiting Time,1887.954674
Waiting Time,1897.954674
Waiting Time,1565.843582
Waiting Time,1655.582855
Waiting Time,1784.506754
Waiting Time,1794.506754
Waiting Time,17.493551
Waiting Time,1461.409149
Waiting Time,25.292620
Waiting Time,35.292620
Waiting Time,32.292620
Waiting Time,42.292620
Waiting Time,42.186224
Waiting Time,1646.068521
Waiting Time,67.879080
Waiting Time,77.879080
Waiting Time,94.905054
Waiting Time,92.313776
Waiting Time,109.339750
Waiting Time,1706.963110
Waiting Time,129.226854
Waiting Time,143.661551
Waiting Time,1758.310886
Waiting Time,1893.964542
Waiting Time,1903.964542
Waiting Time,1913.964542
Waiting Time,1923.964542
Waiting Time,1807.254383
Waiting Time,1933.964542
Waiting Time,1821.744251
Waiting Time,1574.809851
Waiting Time,1589.299719
Waiting Time,1532.809849
Waiting Time,1608.797043
Waiting Time,1422.103832
Waiting Time,1483.550989
Waiting Time,1757.585627
Waiting Time,1701.943987
Waiting Time,1777.082951
Waiting Time,1446.154127
Waiting Time,108.698771
Waiting Time,1629.843452
Waiting Time,1644.335196
Waiting Time,14.482660
Waiting Time,1474.033810
Waiting Time,1734.696596
Waiting Time,33.965319
Waiting Time,1749.174162
Waiting Time,1807.853279
Waiting Time,1759.174162
Waiting Time,1817.853279
Waiting Time,14.511963
Waiting Time,1600.342667
Waiting Time,17.491743
Waiting Time,159.810442
Waiting Time,143.137911
Waiting Time,62.425165
Waiting Time,1543.331129
Waiting Time,1633.746454
Waiting Time,162.848650
Waiting Time,72.425165
Waiting Time,1553.331129
Waiting Time,1654.255430
Waiting Time,73.013027
Waiting Time,1396.615250
Waiting Time,1932.003176
Waiting Time,1951.500500
Waiting Time,1477.758553
Waiting Time,1970.997824
Waiting Time,1993.093660
Waiting Time,2012.590984
Waiting Time,1844.662683
Waiting Time,1587.239521
Waiting Time,1601.744869
Waiting Time,1785.538645
Waiting Time,1893.905775
Waiting Time,1647.285423
Waiting Time,55.866379
Waiting Time,1199.034014
Waiting Time,1062.944281
Waiting Time,86.008429
Waiting Time,1133.470079
Waiting Time,1357.802326
Waiting Time,1453.136992
Waiting Time,231.358362
Waiting Time,250.777990
Waiting Time,260.777990
Waiting Time,71.600492
Waiting Time,87.441511
Waiting Time,1965.047531
Waiting Time,875.142824
Waiting Time,1672.181448
Waiting Time,229.025007
Waiting Time,1688.244843
Waiting Time,1638.518557
Waiting Time,265.025705
Waiting Time,936.150663
Waiting Time,283.877876
Waiting Time,38.789026
Waiting Time,143.821569
Waiting Time,267.648968
Waiting Time,1811.225145
Waiting Time,1482.338737
Waiting Time,1104.032930
Waiting Time,1628.613609
Waiting Time,67.338261
Waiting Time,1638.613609
Waiting Time,1927.620741
Waiting Time,91.716902
Waiting Time,1648.613609
Waiting Time,144.986679
Waiting Time,1512.960533
Waiting Time,1445.279427
Waiting Time,1759.769779
Waiting Time,1779.191917
Waiting Time,121.051903
Waiting Time,40.289698
Waiting Time,1292.730709
Waiting Time,163.017591
Waiting Time,1630.434374
Waiting Time,297.368341
Waiting Time,1456.751827
Waiting Time,1695.382896
Waiting Time,39.090904
Waiting Time,49.090904
Waiting Time,344.205206
Waiting Time,354.205206
Waiting Time,1697.546829
Waiting Time,35.033115
Waiting Time,1832.371935
Waiting Time,1842.371935
Waiting Time,1380.493912
Waiting Time,1619.962826
Waiting Time,217.337681
Waiting Time,183.688095
Waiting Time,198.170755
Waiting Time,17.491245
Waiting Time,2109.245625
Waiting Time,1715.713305
Waiting Time,2119.245625
Waiting Time,2129.245625
Waiting Time,32.994757
Waiting Time,1615.728481
Waiting Time,2143.723188
Waiting Time,1605.658667
Waiting Time,2153.723188
Waiting Time,1615.658667
Waiting Time,1640.206047
Waiting Time,1635.113222
Waiting Time,1649.567780
Waiting Time,101.309727
Waiting Time,1669.418333
Waiting Time,63.948025
Waiting Time,118.755756
Waiting Time,1867.689501
Waiting Time,1398.116543
Waiting Time,162.296988
Waiting Time,172.296988
Waiting Time,225.658955
Waiting Time,182.296988
Waiting Time,29.006092
Waiting Time,230.785744
Waiting Time,51.209486
Waiting Time,1577.387058
Waiting Time,1855.344074
Waiting Time,1508.789019
Waiting Time,1512.009237
Waiting Time,1518.789019
Waiting Time,23.669380
Waiting Time,1533.273224
Waiting Time,14.534512
Waiting Time,1581.032034
Waiting Time,1415.056332
Waiting Time,1438.931202
Waiting Time,1410.151857
Waiting Time,1763.965961
Waiting Time,776.345501
Waiting Time,1458.437094
Waiting Time,1694.568657
Waiting Time,1794.020617
Waiting Time,1509.204735
Waiting Time,1739.153036
Waiting Time,1838.657625
Waiting Time,1285.644678
Waiting Time,1505.187891
Waiting Time,1523.311768
Waiting Time,1799.025068
Waiting Time,1456.115131
Waiting Time,1466.115131
Waiting Time,1828.669144
Waiting Time,1485.634817
Waiting Time,1661.652660
Waiting Time,1593.306253
Waiting Time,64.682346
Waiting Time,1603.306253
Waiting Time,1613.306253
Waiting Time,1987.125681
Waiting Time,1757.016439
Waiting Time,166.151266
Waiting Time,1415.485828
Waiting Time,1425.485828
Waiting Time,1077.794380
Waiting Time,1818.683512
Waiting Time,1158.861828
Waiting Time,1381.707382
Waiting Time,1391.707382
Waiting Time,1232.893408
Waiting Time,1602.004162
Waiting Time,389.224567
Waiting Time,1612.004162
Waiting Time,399.224567
Waiting Time,27.776369
Waiting Time,1243.179392
Waiting Time,1297.512663
Waiting Time,2010.081463
Waiting Time,1347.860586
Waiting Time,17.487724
Waiting Time,1178.276354
Waiting Time,486.289831
Waiting Time,1343.649904
Waiting Time,217.188807
Waiting Time,1358.072041
Waiting Time,515.870792
Waiting Time,32.593790
Waiting Time,1395.066122
Waiting Time,1120.839764
Waiting Time,268.058420
Waiting Time,278.058420
Waiting Time,132.313555
Waiting Time,1530.712162
Waiting Time,142.313555
Waiting Time,1550.638737
Waiting Time,23.165348
Waiting Time,186.219517
Waiting Time,196.219517
Waiting Time,1526.416872
Waiting Time,1406.635288
Waiting Time,1276.927183
Waiting Time,1552.244459
Waiting Time,1155.980648
Waiting Time,493.926435
Waiting Time,23.670341
Waiting Time,1735.918524
Waiting Time,543.987823
Waiting Time,563.491314
Waiting Time,840.771896
Waiting Time,78.026836
Waiting Time,1611.924398
Waiting Time,150.906862
Waiting Time,134.508602
Waiting Time,1513.893703
Waiting Time,154.017202
Waiting Time,1533.348259
Waiting Time,568.445572
Waiting Time,1547.825825
Waiting Time,1562.303391
Waiting Time,406.185974
Waiting Time,17.435204
Waiting Time,1510.672066
Waiting Time,77.997511
Waiting Time,1364.355597
Waiting Time,456.250137
Waiting Time,108.458958
Waiting Time,145.812452
Waiting Time,1539.804237
Waiting Time,14.454556
Waiting Time,1536.804237
Waiting Time,724.607384
Waiting Time,1577.017754
Waiting Time,1766.762230
Waiting Time,1587.017754
Waiting Time,256.032566
Waiting Time,1908.295864
Waiting Time,61.169333
Waiting Time,1892.918097
Waiting Time,75.666655
Waiting Time,290.386061
Waiting Time,1021.972570
Waiting Time,858.380487
Waiting Time,1920.261717
Waiting Time,1041.754719
Waiting Time,869.262632
Waiting Time,143.319853
Waiting Time,1800.177891
Waiting Time,1819.655457
Waiting Time,1834.133020
Waiting Time,38.730982
Waiting Time,1853.587578
Waiting Time,290.395184
Waiting Time,309.901075
Waiting Time,329.406969
Waiting Time,2136.662170
Waiting Time,1265.716644
Waiting Time,280.466240
Waiting Time,1310.401751
Waiting Time,301.443674
Waiting Time,320.933790
Waiting Time,1596.808731
Waiting Time,1616.307247
Waiting Time,1630.415962
Waiting Time,1649.907322
Waiting Time,268.807587
Waiting Time,1395.136187
Waiting Time,536.389725
Waiting Time,352.844141
Waiting Time,362.844141
Waiting Time,377.332787
Waiting Time,55.876816
Waiting Time,405.521852
Waiting Time,666.055502
Waiting Time,1650.424589
Waiting Time,895.922836
Waiting Time,17.491854
Waiting Time,1024.572142
Waiting Time,1160.566132
Waiting Time,1174.977100
Waiting Time,745.372364
Waiting Time,66.386078
Waiting Time,969.390034
Waiting Time,804.828093
Waiting Time,1154.826548
Waiting Time,1429.097401
Waiting Time,260.436340
Waiting Time,367.287468
Waiting Time,1472.913252
Waiting Time,717.746914
Waiting Time,1482.913252
Waiting Time,477.920589
Waiting Time,487.920589
Waiting Time,17.505892
Waiting Time,17.241697
Waiting Time,768.888042
Waiting Time,163.262981
Waiting Time,1872.055515
Waiting Time,1967.623234
Waiting Time,1202.023634
Waiting Time,1982.116785
Waiting Time,1355.373672
Waiting Time,1912.027761
Waiting Time,1365.373672
Waiting Time,62.314573
Waiting Time,1430.667713
Waiting Time,2029.937807
Waiting Time,1392.237368
Waiting Time,17.410969
Waiting Time,1099.552719
Waiting Time,1391.601959
Waiting Time,2056.529688
Waiting Time,1044.765821
Waiting Time,1977.382477
Waiting Time,1060.598818
Waiting Time,1991.888369
Waiting Time,1440.442341
Waiting Time,1080.081478
Waiting Time,1205.191513
Waiting Time,1579.446623
Waiting Time,1589.446623
Waiting Time,1237.953234
Waiting Time,247.953039
Waiting Time,1608.955225
Waiting Time,527.050798
Waiting Time,1226.452642
Waiting Time,1616.067045
Waiting Time,1288.637266
Waiting Time,857.212303
Waiting Time,2203.836613
Waiting Time,1514.073006
Waiting Time,1265.321470
Waiting Time,253.603924
Waiting Time,1533.527561
Waiting Time,1236.004557
Waiting Time,1339.836880
Waiting Time,55.751816
Waiting Time,1362.555431
Waiting Time,1748.971882
Waiting Time,17.489868
Waiting Time,1553.029943
Waiting Time,384.269558
Waiting Time,29.103251
Waiting Time,14.494034
Waiting Time,85.273764
Waiting Time,62.957359
Waiting Time,63.456745
Waiting Time,397.134642
Waiting Time,426.631308
Waiting Time,91.267216
Waiting Time,962.308178
Waiting Time,771.598734
Waiting Time,483.922312
Waiting Time,103.042099
Waiting Time,209.243870
Waiting Time,282.053246
Waiting Time,292.053246
Waiting Time,306.507801
Waiting Time,1659.539789
Waiting Time,1673.994345
Waiting Time,265.375690
Waiting Time,275.375690
Waiting Time,1688.448900
Waiting Time,234.454044
Waiting Time,1119.560148
Waiting Time,875.386669
Waiting Time,240.420551
Waiting Time,639.470957
Waiting Time,885.386669
Waiting Time,277.767467
Waiting Time,66.196764
Waiting Time,302.226273
Waiting Time,1204.825094
Waiting Time,180.459372
Waiting Time,1998.985004
Waiting Time,1877.417297
Waiting Time,980.574144
Waiting Time,470.033810
Waiting Time,1896.871853
Waiting Time,325.561605
Waiting Time,838.285526
Waiting Time,1359.294626
Waiting Time,1082.697508
Waiting Time,395.367134
Waiting Time,1100.704491
Waiting Time,478.462574
Waiting Time,780.279388
Waiting Time,817.018368
Waiting Time,763.137594
Waiting Time,773.137594
Waiting Time,841.250048
Waiting Time,1871.252577
Waiting Time,888.485538
Waiting Time,1254.259462
Waiting Time,1729.971069
Waiting Time,586.285595
Waiting Time,26.062475
Waiting Time,1465.000971
Waiting Time,216.363846
Waiting Time,651.590988
Waiting Time,1352.678736
Waiting Time,10.000000
Waiting Time,24.501820
Waiting Time,232.371134
Waiting Time,242.371134
Waiting Time,354.605755
Waiting Time,270.772530
Waiting Time,1938.959118
Waiting Time,1643.721142
Waiting Time,1966.358488
Waiting Time,1123.418076
Waiting Time,384.268866
Waiting Time,127.735588
Waiting Time,1995.650803
Waiting Time,66.276150
Waiting Time,1039.400280
Waiting Time,776.581810
Waiting Time,1049.400280
Waiting Time,1712.115444
Waiting Time,454.215210
Waiting Time,468.704105
Waiting Time,1748.207870
Waiting Time,486.266285
Waiting Time,1762.006023
Waiting Time,1391.385462
Waiting Time,1116.409704
Waiting Time,138.582447
Waiting Time,1126.409704
Waiting Time,1110.917315
Waiting Time,1125.352520
Waiting Time,1425.707262
Waiting Time,949.625095
Waiting Time,1139.787975
Waiting Time,929.726204
Waiting Time,194.913614
Waiting Time,45.341007
Waiting Time,999.890972
Waiting Time,1296.836283
Waiting Time,114.783070
Waiting Time,1059.682478
Waiting Time,2257.070301
Waiting Time,1207.099129
Waiting Time,538.568104
Waiting Time,1006.147968
Waiting Time,1359.957340
Waiting Time,14.508602
Waiting Time,1396.315123
Waiting Time,18.171270
Waiting Time,1176.822329
Waiting Time,1386.175781
Waiting Time,1121.723852
Waiting Time,50.280916
Waiting Time,458.110548
Waiting Time,1202.818260
Waiting Time,1418.885796
Waiting Time,23.298073
Waiting Time,29.508602
Waiting Time,509.561224
Waiting Time,893.676867
Waiting Time,97.887484
Waiting Time,570.326792
Waiting Time,607.680285
Waiting Time,405.349731
Waiting Time,1694.496330
Waiting Time,1060.929296
Waiting Time,226.095747
Waiting Time,711.312576
Waiting Time,997.927221
Waiting Time,756.749395
Waiting Time,1095.428221
Waiting Time,259.284815
Waiting Time,1813.587744
Waiting Time,1560.395977
Waiting Time,61.684574
Waiting Time,250.644379
Waiting Time,88.755167
Waiting Time,1895.142551
Waiting Time,211.244572
Waiting Time,1863.811478
Waiting Time,1878.300371
Waiting Time,257.400051
Waiting Time,567.117357
Waiting Time,624.831905
Waiting Time,280.261501
Waiting Time,41.422878
Waiting Time,1035.974607
Waiting Time,2014.195833
Waiting Time,108.848783
Waiting Time,437.254744
Waiting Time,213.910826
Waiting Time,21.381590
Waiting Time,1552.092888
Waiting Time,1574.841612
Waiting Time,197.657837
Waiting Time,1584.841612
Waiting Time,1594.841612
Waiting Time,17.494034
Waiting Time,539.254473
Waiting Time,240.406563
Waiting Time,50.341637
Waiting Time,36.061996
Waiting Time,14.480467
Waiting Time,270.248245
Waiting Time,50.196104
Waiting Time,437.252701
Waiting Time,32.171801
Waiting Time,187.188402
Waiting Time,608.116377
Waiting Time,928.439140
Waiting Time,1321.650106
Waiting Time,662.755836
Waiting Time,789.458368
Waiting Time,372.630287
Waiting Time,977.151325
Waiting Time,987.151325
Waiting Time,753.581491
Waiting Time,189.370432
Waiting Time,14.490116
Waiting Time,904.222963
Waiting Time,1150.694948
Waiting Time,17.529873
Waiting Time,251.933899
Waiting Time,61.707994
Waiting Time,1899.326557
Waiting Time,71.495855
Waiting Time,1922.973003
Waiting Time,71.637053
Waiting Time,778.579859
Waiting Time,1932.973003
Waiting Time,81.637053
Waiting Time,1942.973003
Waiting Time,100.674372
Waiting Time,315.205751
Waiting Time,325.205751
Waiting Time,25.000000
Waiting Time,1697.410425
Waiting Time,130.561085
Waiting Time,1707.410425
Waiting Time,1670.264675
Waiting Time,488.922359
Waiting Time,17.490116
Waiting Time,480.896523
Waiting Time,314.518734
Waiting Time,687.125673
Waiting Time,84.350531
Waiting Time,106.943426
Waiting Time,1768.995850
Waiting Time,887.747103
Waiting Time,29.410971
Waiting Time,301.454416
Waiting Time,192.039440
Waiting Time,554.949175
Waiting Time,1828.635151
Waiting Time,564.949175
Waiting Time,1059.622627
Waiting Time,494.186768
Waiting Time,17.386202
Waiting Time,1090.880121
Waiting Time,808.350399
Waiting Time,956.310574
Waiting Time,639.583439
Waiting Time,997.682514
Waiting Time,1134.935272
Waiting Time,919.010397
Waiting Time,933.500265
Waiting Time,1198.696751
Waiting Time,1171.118935
Waiting Time,736.691954
Waiting Time,61.199865
Waiting Time,1203.969589
Waiting Time,2014.493362
Waiting Time,41.106113
Waiting Time,1213.969589
Waiting Time,301.351828
Waiting Time,174.459848
Waiting Time,803.079687
Waiting Time,17.482658
Waiting Time,110.956282
Waiting Time,120.956282
Waiting Time,773.832474
Waiting Time,521.890623
Waiting Time,124.421684
Waiting Time,249.095049
Waiting Time,856.925381
Waiting Time,449.297785
Waiting Time,606.073740
Waiting Time,672.070318
Waiting Time,278.704594
Waiting Time,337.314508
Waiting Time,84.116783
Waiting Time,134.639503
Waiting Time,553.954796
Waiting Time,23.875189
Waiting Time,112.473093
Waiting Time,899.669397
Waiting Time,1598.303173
Waiting Time,130.522577
Waiting Time,283.675486
Waiting Time,197.967747
Waiting Time,64.623770
Waiting Time,479.874657
Waiting Time,1663.441610
Waiting Time,1479.758347
Waiting Time,434.258972
Waiting Time,244.792751
Waiting Time,308.069992
Waiting Time,206.704170
Waiting Time,318.069992
Waiting Time,1510.956011
Waiting Time,999.223536
Waiting Time,1730.511009
Waiting Time,1441.518103
Waiting Time,1557.521568
Waiting Time,1046.007545
Waiting Time,170.829247
Waiting Time,1525.959793
Waiting Time,1104.514927
Waiting Time,427.308598
Waiting Time,1120.485628
Waiting Time,264.184948
Waiting Time,67.511005
Waiting Time,462.060780
Waiting Time,523.726423
Waiting Time,1537.279852
Waiting Time,481.932369
Waiting Time,483.165470
Waiting Time,45.538784
Waiting Time,318.808720
Waiting Time,17.477316
Waiting Time,1245.352659
Waiting Time,10.000000
Waiting Time,228.130133
Waiting Time,24.480215
Waiting Time,159.286034
Waiting Time,132.219507
Waiting Time,226.572042
Waiting Time,1993.635109
Waiting Time,281.017313
Waiting Time,267.825468
Waiting Time,2025.106506
Waiting Time,54.408552
Waiting Time,441.845808
Waiting Time,1695.531872
Waiting Time,611.409393
Waiting Time,1779.073933
Waiting Time,76.509701
Waiting Time,742.883823
Waiting Time,1650.782591
Waiting Time,673.763472
Waiting Time,1716.100504
Waiting Time,1992.767336
Waiting Time,265.626389
Waiting Time,280.114876
Waiting Time,57.639460
Waiting Time,67.639460
Waiting Time,82.127775
Waiting Time,1599.634605
Waiting Time,1579.731846
Waiting Time,233.549513
Waiting Time,461.342222
Waiting Time,486.775213
Waiting Time,154.867168
Waiting Time,466.712137
Waiting Time,2229.559319
Waiting Time,2239.559319
Waiting Time,159.060272
Waiting Time,2249.559319
Waiting Time,1483.253920
Waiting Time,1493.253920
Waiting Time,538.820921
Waiting Time,545.051933
Waiting Time,1732.018791
Waiting Time,600.915237
Waiting Time,576.872314
Waiting Time,860.894835
Waiting Time,602.312887
Waiting Time,875.400726
Waiting Time,498.712111
Waiting Time,376.342722
Waiting Time,1803.395693
Waiting Time,808.319220
Waiting Time,354.763840
Waiting Time,702.730452
Waiting Time,293.803461
Waiting Time,415.890846
Waiting Time,717.237385
Waiting Time,2180.534050
Waiting Time,738.610546
Waiting Time,495.167725
Waiting Time,980.911634
Waiting Time,615.034256
Waiting Time,71.689541
Waiting Time,135.397957
Waiting Time,401.447901
Waiting Time,1035.653971
Waiting Time,1050.143839
Waiting Time,188.431698
Waiting Time,1990.477564
Waiting Time,1130.373011
Waiting Time,2004.969465
Waiting Time,37.096712
Waiting Time,334.189043
Waiting Time,639.235788
Waiting Time,1189.125696
Waiting Time,589.194324
Waiting Time,44.468403
Waiting Time,776.379475
Waiting Time,608.700216
Waiting Time,1309.016609
Waiting Time,1323.451813
Waiting Time,102.537001
Waiting Time,122.030354
Waiting Time,1129.957830
Waiting Time,1149.435394
Waiting Time,732.826973
Waiting Time,790.859949
Waiting Time,841.319771
Waiting Time,382.242868
Waiting Time,349.952885
Waiting Time,60.675930
Waiting Time,35.672483
Waiting Time,1158.494778
Waiting Time,1155.494778
Waiting Time,1165.494778
Waiting Time,564.092701
Waiting Time,111.871414
Waiting Time,1733.778601
Waiting Time,1765.992794
Waiting Time,1565.831488
Waiting Time,429.151190
Waiting Time,172.193073
Waiting Time,663.150209
Waiting Time,412.674959
Waiting Time,580.319344
Waiting Time,413.377129
Waiting Time,1868.598301
Waiting Time,239.751755
Waiting Time,447.724043
Waiting Time,638.136408
Waiting Time,1681.834909
Waiting Time,240.336468
Waiting Time,250.336468
Waiting Time,1940.598953
Waiting Time,868.202984
Waiting Time,712.471088
Waiting Time,399.711437
Waiting Time,241.010645
Waiting Time,442.111916
Waiting Time,96.290230
Waiting Time,106.290230
Waiting Time,10.000000
Waiting Time,1876.600811
Waiting Time,161.879725
Waiting Time,491.465410
Waiting Time,37.519266
Waiting Time,17.488895
Waiting Time,90.822939
Waiting Time,236.617342
Waiting Time,691.493961
Waiting Time,216.540737
Waiting Time,705.999853
Waiting Time,699.805855
Waiting Time,947.078333
Waiting Time,501.073481
Waiting Time,1978.828512
Waiting Time,903.211304
Waiting Time,434.219841
Waiting Time,541.219215
Waiting Time,473.524401
Waiting Time,2203.484409
Waiting Time,372.201176
Waiting Time,491.458147
Waiting Time,386.713139
Waiting Time,509.414438
Waiting Time,655.698019
Waiting Time,324.593451
Waiting Time,665.698019
Waiting Time,73.530800
Waiting Time,528.026222
Waiting Time,1585.011232
Waiting Time,342.549744
Waiting Time,549.722076
Waiting Time,685.152576
Waiting Time,107.350544
Waiting Time,1315.122377
Waiting Time,97.662853
Waiting Time,141.184750
Waiting Time,1490.198032
Waiting Time,662.666754
Waiting Time,117.267797
Waiting Time,322.770344
Waiting Time,1511.862261
Waiting Time,201.953478
Waiting Time,10.000000
Waiting Time,307.843311
Waiting Time,17.482660
Waiting Time,1862.683237
Waiting Time,1872.683237
Waiting Time,17.494034
Waiting Time,17.484205
Waiting Time,75.632286
Waiting Time,85.632286
Waiting Time,66.821026
Waiting Time,1967.227131
Waiting Time,1977.227131
Waiting Time,397.670870
